187. Category: Virtual Machines, 		  Name: E2 v3/E2s v3, 		 Rate: 0.200000, 		 Region: AU Central 2 
188. Category: Virtual Machines, 		  Name: D3 v2/DS3 v2 - Expired, 		 Rate: 0.585000, 		 Region: US Gov AZ 
189. Category: Virtual Machines, 		  Name: F72s v2 Low Priority, 		 Rate: 0.612000, 		 Region: AU East 
190. Category: Virtual Machines, 		  Name: D5 v2/DS5 v2, 		 Rate: 1.404000, 		 Region: FR Central 
191. Category: Virtual Machines, 		  Name: M16s Low Priority, 		 Rate: 0.692200, 		 Region: AP Southeast 
192. Category: Virtual Machines, 		  Name: A1 v2, 		 Rate: 0.095000, 		 Region: AU Central 2 
193. Category: Virtual Machines, 		  Name: NC12 Low Priority, 		 Rate: 0.432000, 		 Region: US Gov 
194. Category: Virtual Machines, 		  Name: A5 Low Priority, 		 Rate: 0.144000, 		 Region: CA Central 
195. Category: Virtual Machines, 		  Name: M16s Low Priority, 		 Rate: 1.440000, 		 Region: US Gov 
196. Category: Virtual Machines, 		  Name: NV24 Low Priority, 		 Rate: 0.920000, 		 Region: US South Central 
197. Category: Virtual Machines, 		  Name: NC12s v2 Low Priority, 		 Rate: 1.215400, 		 Region: AP Southeast 
198. Category: Virtual Machines, 		  Name: F72s v2, 		 Rate: 6.662000, 		 Region: EU West 
199. Category: Virtual Machines, 		  Name: E2 v3/E2s v3, 		 Rate: 0.146000, 		 Region: US Central 
200. Category: Virtual Machines, 		  Name: F16s v2, 		 Rate: 1.592000, 		 Region: JA East 
201. Category: Virtual Machines, 		  Name: F64s v2 Low Priority, 		 Rate: 0.544000, 		 Region: US West Central 
202. Category: Virtual Machines, 		  Name: F2s v2 Low Priority, 		 Rate: 0.017000, 		 Region: US West 2 
203. Category: Virtual Machines, 		  Name: D32 v3/D32s v3 Low Priority, 		 Rate: 0.352000, 		 Region: US Central 
204. Category: Virtual Machines, 		  Name: A8m v2 Low Priority, 		 Rate: 0.087000, 		 Region:  
205. Category: Virtual Machines, 		  Name: F4/F4s, 		 Rate: 0.239000, 		 Region: US Gov AZ 
206. Category: Virtual Machines, 		  Name: NC24rs v3 Low Priority, 		 Rate: 3.231000, 		 Region: CA Central 
207. Category: Virtual Machines, 		  Name: D12 v2/DS12 v2, 		 Rate: 0.563000, 		 Region: IN Central 
208. Category: Virtual Machines, 		  Name: F1/F1s, 		 Rate: 0.062000, 		 Region: US West 
209. Category: Virtual Machines, 		  Name: A8m v2, 		 Rate: 0.742000, 		 Region: CA Central 
210. Category: Virtual Machines, 		  Name: A3 Low Priority, 		 Rate: 0.052000, 		 Region: IN West 
211. Category: Virtual Machines, 		  Name: D2/DS2 Low Priority, 		 Rate: 0.125000, 		 Region: AU East 
212. Category: Virtual Machines, 		  Name: E8 v3/E8s v3 Low Priority, 		 Rate: 0.402000, 		 Region: US Gov AZ 
213. Category: Virtual Machines, 		  Name: E20 v3/E20s v3 Low Priority, 		 Rate: 0.990000, 		 Region: US Central 
214. Category: Virtual Machines, 		  Name: D1/DS1 Low Priority, 		 Rate: 0.056000, 		 Region: US East 
215. Category: Virtual Machines, 		  Name: NC12s v2, 		 Rate: 7.160000, 		 Region: AP Southeast 
216. Category: Virtual Machines, 		  Name: D3/DS3, 		 Rate: 0.451000, 		 Region: AP East 
217. Category: Virtual Machines, 		  Name: E8 v3/E8s v3, 		 Rate: 0.624000, 		 Region: UK West 
218. Category: Virtual Machines, 		  Name: D13 v2/DS13 v2 Low Priority, 		 Rate: 0.717000, 		 Region: BR South 
219. Category: Virtual Machines, 		  Name: G2/GS2 Low Priority, 		 Rate: 0.468000, 		 Region: CA Central 
220. Category: Virtual Machines, 		  Name: F2s v2 Low Priority, 		 Rate: 0.092200, 		 Region: AU Central 
221. Category: Virtual Machines, 		  Name: A5, 		 Rate: 0.330000, 		 Region: US West 
222. Category: Virtual Machines, 		  Name: F16/F16s, 		 Rate: 0.816000, 		 Region: KR South 
223. Category: Virtual Machines, 		  Name: A8m v2 Low Priority, 		 Rate: 0.157000, 		 Region: UK South 
224. Category: Virtual Machines, 		  Name: F32s v2, 		 Rate: 1.482000, 		 Region: CA East 
225. Category: Virtual Machines, 		  Name: D13/DS13 Low Priority, 		 Rate: 0.486000, 		 Region: US Gov 
226. Category: Virtual Machines, 		  Name: A3 Low Priority, 		 Rate: 0.142000, 		 Region: CA Central 
227. Category: Virtual Machines, 		  Name: D2 v2/DS2 v2 - Expired, 		 Rate: 0.171000, 		 Region: BR South 
228. Category: Virtual Machines, 		  Name: D4 v2/DS4 v2, 		 Rate: 0.571000, 		 Region: US Gov TX 
229. Category: Virtual Machines, 		  Name: D2 v3/D2s v3 Low Priority, 		 Rate: 0.022000, 		 Region: US Central 
230. Category: Virtual Machines, 		  Name: F16/F16s, 		 Rate: 1.300000, 		 Region: AU Central 2 
231. Category: Virtual Machines, 		  Name: L4s Low Priority, 		 Rate: 0.062000, 		 Region: US West 2 
232. Category: Virtual Machines, 		  Name: D2 v2/DS2 v2, 		 Rate: 0.234000, 		 Region: US East 2 
233. Category: Virtual Machines, 		  Name: A4m v2, 		 Rate: 0.437000, 		 Region: BR South 
234. Category: Virtual Machines, 		  Name: D5 v2/DS5 v2 - Expired, 		 Rate: 2.086000, 		 Region: IN South 
235. Category: Virtual Machines, 		  Name: A2 v2, 		 Rate: 0.113000, 		 Region: JA West 
236. Category: Virtual Machines, 		  Name: D15 v2/DS15 v2 Low Priority, 		 Rate: 0.459000, 		 Region: JA East 
237. Category: Virtual Machines, 		  Name: M128s, 		 Rate: 19.226000, 		 Region: US West 2 
238. Category: Virtual Machines, 		  Name: D11 v2/DS11 v2, 		 Rate: 0.200000, 		 Region: JA West 
239. Category: Virtual Machines, 		  Name: B4ms, 		 Rate: 0.205000, 		 Region: UK South 
240. Category: Virtual Machines, 		  Name: D11 v2/DS11 v2 Low Priority, 		 Rate: 0.113000, 		 Region: IN Central 
241. Category: Virtual Machines, 		  Name: D12 v2/DS12 v2, 		 Rate: 0.528000, 		 Region: US North Central 
242. Category: Virtual Machines, 		  Name: D16 v3/D16s v3 Low Priority, 		 Rate: 0.154000, 		 Region: US East 
243. Category: Virtual Machines, 		  Name: D13/DS13 Low Priority, 		 Rate: 0.140000, 		 Region:  
244. Category: Virtual Machines, 		  Name: D1 v2/DS1 v2 Low Priority, 		 Rate: 0.052000, 		 Region: KR Central 
245. Category: Virtual Machines, 		  Name: A8 v2, 		 Rate: 0.383000, 		 Region: EU North 
246. Category: Virtual Machines, 		  Name: D13 v2/DS13 v2 - Expired, 		 Rate: 1.614000, 		 Region: BR South 
247. Category: Virtual Machines, 		  Name: A11 Low Priority, 		 Rate: 0.312000, 		 Region: EU North 
248. Category: Virtual Machines, 		  Name: E2 v3/E2s v3 Low Priority, 		 Rate: 0.027000, 		 Region: US East 2 
249. Category: Virtual Machines, 		  Name: A2 Low Priority, 		 Rate: 0.020200, 		 Region: FR Central 
250. Category: Virtual Machines, 		  Name: A4m v2, 		 Rate: 0.312000, 		 Region: AU East 
251. Category: Virtual Machines, 		  Name: D11/DS11, 		 Rate: 0.243000, 		 Region: EU North 
252. Category: Virtual Machines, 		  Name: D1 v2/DS1 v2, 		 Rate: 0.146000, 		 Region: US Gov AZ 
253. Category: Virtual Machines, 		  Name: D16 v3/D16s v3 Low Priority, 		 Rate: 0.168000, 		 Region: IN Central 
254. Category: Virtual Machines, 		  Name: NV6 Low Priority, 		 Rate: 0.318000, 		 Region: AU East 
255. Category: Virtual Machines, 		  Name: D14 v2/DS14 v2, 		 Rate: 1.330000, 		 Region: US West Central 
256. Category: Virtual Machines, 		  Name: E2 v3/E2s v3, 		 Rate: 0.148000, 		 Region: US West 
257. Category: Virtual Machines, 		  Name: NV6, 		 Rate: 1.780000, 		 Region: JA East 
258. Category: Virtual Machines, 		  Name: F2s v2, 		 Rate: 0.085000, 		 Region: IN Central 
259. Category: Virtual Machines, 		  Name: D4/DS4, 		 Rate: 1.481000, 		 Region: AP East 
